"Rank","Name","Company","1-Year Pay ($mil)","5 Year Pay ($mil)","Shares Owned ($mil)","Age","Efficiency"
248,"Dutkowsky, Robert MRobert M Dutkowsky","Tech Data",6.035,12.802,2.7,56,"-"
249,"Kowalski, Michael JMichael J Kowalski","Tiffany & Co",5.975,46.72,19.7,58,"49"
250,"Rodkin, Gary MGary M Rodkin","ConAgra Foods",5.97,29.34,12.2,59,"-"
251,"Speer, David BDavid B Speer","Illinois Tool Works",5.94,22.32,7.8,60,"-"
252,"Sprecher, Jeffrey CJeffrey C Sprecher","IntercontinentalExchg",5.935,110.71,201.4,56,"-"
253,"Main, Timothy LTimothy L Main","Ja Circuit",5.92,25.76,21.2,53,"181"
254,"Lowe, Kenneth WKenneth W Lowe","Scripps Networks",5.915,,25.7,60,"-"
255,"Wise, Allen FAllen F Wise","Coventry Health Care",,,3.4,68,"-"
256,"Powell, Kendall JKendall J Powell","General Mills",5.9,21.652,16.9,57,"-"
257,"Rogers, James EJames E Rogers","Duke Energy",5.9,33.2,39.5,63,"-"
258,"Fetter, TrevorTrevor Fetter","Tenet Healthcare",5.855,24.06,11.2,51,"179"
259,"Kabat, Kevin TKevin T Kabat","Fifth Third Bancorp",5.85,15.87,4.7,54,"-"
260,"Deaton, Chad CChad C Deaton","Baker Hughes",5.83,32.33,22.4,58,"122"
261,"Gellert, Jay MJay M Gellert","Health Net",5.79,33.68,23,57,"174"
262,"White, Michael DMichael D White","DirecTV",5.75,,7.1,58,"-"
263,"Goldner, BrianBrian Goldner","Hasbro",5.745,,11.2,47,"-"
264,"Martin, Murray DMurray D Martin","Pitney Bowes",5.71,21.47,3.2,63,"-"
265,"Miller, James HJames H Miller","PPL",5.705,19.672,1.5,62,"-"
266,"Freda, FabrizioFabrizio Freda","Estee Lauder Cos",5.69,,3.6,53,"-"
267,"Boothby, Lee KLee K Boothby","Newfield Exploration",5.68,,4.3,49,"-"
268,"Gremp, John TJohn T Gremp","FMC Technologies",5.646,,5.9,60,"-"
269,"Lindner, Carl H IIICarl H Lindner III","American Finl Group",5.645,24.14,321,57,"-"
270,"Timmerman, William BWilliam B Timmerman","Scana",5.64,20.36,3.9,64,"109"
271,"Ettinger, Jeffrey MJeffrey M Ettinger","Hormel Foods",5.63,21.34,13.2,52,"-"
272,"Sheffield, Scott DScott D Sheffield","Pioneer Natural Res",5.615,27.96,50.1,58,"83"
273,"Barrett, George SGeorge S Barrett","Cardinal Health",5.6,,12.5,56,"-"
274,"Hawkins, William AWilliam A Hawkins","Medtronic",5.59,17.432,2.3,57,"-"
275,"Mansell, KevinKevin Mansell","Kohl's",5.59,11.273,17.2,58,"-"
276,"Shattuck, Mayo A IIIMayo A Shattuck III","Constellation Energy",5.585,79.46,9,56,"191"
277,"Zuckerman, Mortimer BMortimer B Zuckerman","Boston Properties",,,136.8,72,"-"
278,"Watson, John SJohn S Watson","Chevron",,,2.8,54,"-"
279,"Izzo, RalphRalph Izzo","Pub Svc Enterprise",5.38,17.3,8.9,53,"-"
280,"McDaniel, Raymond W JrRaymond W McDaniel Jr","Moody's",5.31,29.81,5.2,53,"-"
281,"Hanrahan, Paul TPaul T Hanrahan","AES",5.3,40.71,4.9,53,"167"
282,"Watjen, Thomas RThomas R Watjen","Unum Group",5.295,24.21,17.7,56,"48"
283,"Hooley, Joseph LJoseph L Hooley","State Street",,,11.4,53,"-"
284,"O'Brien, Richard TRichard T O'Brien","Newmont Mining",5.27,15.802,11,56,"-"
285,"Haldeman, Charles E JrCharles E Haldeman Jr","Freddie Mac",5.24,,0,63,"-"
286,"Ryan, James TJames T Ryan","WW Grainger",5.24,10.783,19.5,52,"-"
287,"McGlade, John EJohn E McGlade","Air Prods & Chems",5.22,25.412,13.6,57,"-"
288,"Steiner, David PDavid P Steiner","Waste Management",5.19,25.01,14.1,50,"79"
289,"Tisch, James SJames S Tisch","Loews",5.115,18.4,301,58,"19"
290,"Johnson, William DWilliam D Johnson","Progress Energy",5.1,18.462,9,57,"-"
291,"Salem, Enrique TEnrique T Salem","Symantec",5.1,,4.5,45,"-"
292,"Reilly, Paul CPaul C Reilly","Raymond James Finl",5.076,,9.2,56,"-"
293,"Murphy, Glenn KGlenn K Murphy","Gap",5.045,13.643,3.3,49,"-"
294,"Glass, Dennis RDennis R Glass","Lincoln National",5.04,27.782,6.7,61,"-"
295,"Dillon, David BDavid B Dillon","Kroger",5.035,25.83,23.5,60,"81"
296,"Corzine, Jon SJon S Corzine","MF Global",5,,2.8,64,"-"
297,"Harvey, J BrettJ Brett Harvey","Consol Energy",4.965,36.27,19.8,60,"13"
298,"Butler, Gary CGary C Butler","Automatic Data",4.96,28.37,19.3,64,"-"
299,"Smucker, Timothy PTimothy P Smucker","JM Smucker",4.96,30.23,132.5,66,"62"
300,"Khosrowshahi, DaraDara Khosrowshahi","Expedia",4.955,18.44,4.2,42,"-"
301,"Luke, John A JrJohn A Luke Jr","MeadWestvaco",4.94,20.57,11.3,62,"154"
302,"Hambrick, James LJames L Hambrick","Lubrizol",4.925,30.76,48,56,"-"
303,"Johnson, Jay LJay L Johnson","General Dynamics",4.91,,15,64,"-"
304,"Niederauer, Duncan LDuncan L Niederauer","NYSE Euronext",4.91,13.103,4.3,51,"-"
305,"Laverty Elsenhans, LynnLynn Laverty Elsenhans","Sunoco",4.88,7.863,1.2,55,"-"
306,"Ullman, Myron E IIIMyron E Ullman III","JC Penney",4.84,31.08,7.5,64,"176"
307,"Williams, Michael JMichael J Williams","Fannie Mae",4.84,,0.07,52,"-"
308,"Narayen, ShantanuShantanu Narayen","Adobe Systems",4.83,22.302,6.6,47,"-"
309,"Smith, DonnieDonnie Smith","Tyson Foods",4.82,,3.9,52,"-"
310,"Simon, DavidDavid Simon","Simon Property Group",4.795,19.52,53.7,49,"32"
311,"Blinn, Mark AMark A Blinn","Flowserve",4.78,,8,49,"-"
312,"McAndrew, Mark SMark S McAndrew","Torchmark",4.75,12.31,5.2,60,"-"
313,"Herbert, James H IIJames H Herbert II","First Republic",4.755,,66.8,67,"-"
314,"Wells, James M IIIJames M Wells III","SunTrust Banks",4.74,13.35,13.1,64,"-"
315,"Anderson, Richard HRichard H Anderson","Delta Air Lines",4.745,7.763,17.6,55,"-"
316,"Richenhagen, Martin HMartin H Richenhagen","AGCO",4.62,24.78,19.7,59,"39"
317,"Sinegal, James DJames D Sinegal","Costco Wholesale",4.62,37.63,153.2,75,"75"
318,"Elliott, J RaymondJ Raymond Elliott","Boston Scientific",,,3,61,"-"
319,"Knauss, Donald RDonald R Knauss","Clorox",4.55,15.432,5.6,59,"-"
320,"Holmes, Stephen PStephen P Holmes","Wyndham Worldwide",4.555,17.842,25.7,54,"-"
321,"Donnelly, Scott CScott C Donnelly","Textron",4.52,,1.2,49,"-"
322,"Bettinger, Walter W IIWalter W Bettinger II","Charles Schwab",4.515,,7.6,50,"-"
323,"Frissora, Mark PMark P Frissora","Hertz Global Holdings",4.515,29.632,27.2,55,"-"
324,"Hamm, Harold GHarold G Hamm","Continental Resources",4.495,12.662,8199.9,65,"-"
325,"Kleinfeld, KlausKlaus Kleinfeld","Alcoa",4.47,13.973,10.2,53,"-"
326,"Fascitelli, Michael DMichael D Fascitelli","Vornado Realty",4.465,,159.1,54,"-"
327,"McClanahan, David MDavid M McClanahan","CenterPoint Energy",4.45,21.46,11.7,61,"61"
328,"Delen, Daniel MDaniel M Delen","Reynolds American",4.446,,2.2,45,"-"
329,"Lybarger, Stanley AStanley A Lybarger","BOK Financial",4.44,19.45,9.6,61,"18"
330,"Hayes, John AJohn A Hayes","Ball",4.426,,16.4,45,"-"
331,"Sasser, BobBob Sasser","Dollar Tree",4.395,15.38,5.6,59,"5"
332,"Anderson, Gerard MGerard M Anderson","DTE Energy",4.386,,7.2,53,"-"
333,"Surma, John PJohn P Surma","US Steel",4.38,37.48,11.6,56,"167"
334,"Woertz, Patricia APatricia A Woertz","Archer Daniels",4.32,21.77,23.1,58,"-"
335,"Dunn, Brian JBrian J Dunn","Best Buy",4.31,,1.9,51,"-"
336,"Orlich, Robert FRobert F Orlich","Transatlantic Holdings",4.295,15.8,4.5,63,"153"
337,"Read, Ian CIan C Read","Pfizer",4.25,,17.1,58,"-"
338,"Papa, Mark GMark G Papa","EOG Resources",4.225,164.35,119,64,"85"
339,"Gillette, Robert JRobert J Gillette","First Solar",4.2,,3.3,49,"-"
340,"Cazalot, Clarence P JrClarence P Cazalot Jr","Marathon Oil",4.16,45.56,33.7,60,"68"
341,"Burns, Ursula MUrsula M Burns","Xerox",4.085,,4.9,52,"-"
342,"Laub, StevenSteven Laub","Atmel",4.065,11.062,66.3,52,"-"
343,"Wilson, Floyd CFloyd C Wilson","Petrohawk Energy",4.045,11.44,72.1,64,"-"
344,"Wallis, David WDavid W Wallis","Ambac Financial Group",4.035,,0.07,50,"-"
345,"Waddell, Frederick HFrederick H Waddell","Northern Trust",4.03,15.872,7.2,58,"-"
346,"Ketchum, Mark DMark D Ketchum","Newell Rubbermaid",4.025,17.46,3.5,61,"-"
347,"Newberry, Stephen GStephen G Newberry","Lam Research",3.96,61.17,0.6,58,"-"
348,"Foshee, Douglas LDouglas L Foshee","El Paso",3.965,21.31,21.4,51,"100"
349,"Gallagher, Thomas CThomas C Gallagher","Genuine Parts",3.93,17.02,18.8,63,"90"
350,"Folliard, Thomas JThomas J Folliard","CarMax",3.9,17.37,12.4,46,"-"
351,"Crane, David WDavid W Crane","NRG Energy",3.89,32.99,5.9,52,"131"
352,"Ebel, Gregory LGregory L Ebel","Spectra Energy",3.88,7.013,2.9,46,"-"
353,"Grant, HughHugh Grant","Monsanto",3.88,144.94,34.6,53,"71"
354,"Bergman, Stanley MStanley M Bergman","Henry Schein",3.795,14.55,69.5,61,"45"
355,"Maier, LotharLothar Maier","Linear Technology",3.76,14.11,8.6,55,"135"
356,"McGraw, Harold W IIIHarold W McGraw III","McGraw-Hill Cos",3.74,38.1,210.1,62,"133"
357,"Adelson, Sheldon GSheldon G Adelson","Las Vegas Sands",3.735,17.39,12202.9,77,"185"
358,"Wadhams, TimothyTimothy Wadhams","Masco",3.705,7.893,12.7,62,"-"
359,"Frazier, Kenneth CKenneth C Frazier","Merck & Co",,,5.2,56,"-"
360,"Sanghi, SteveSteve Sanghi","Microchip Technology",3.68,62.49,167,55,"43"
361,"Mueller, Steven LSteven L Mueller","Southwestern Energy",3.65,,4.8,57,"-"
362,"McCallister, Michael BMichael B McCallister","Humana",3.65,68.98,28.2,58,"34"
363,"O'Brien, James JJames J O'Brien","Ashland",3.63,29.44,7.1,56,"122"
364,"Apotheker, LéoLéo Apotheker","Hewlett-Packard",3.6,,6.6,57,"-"
365,"Mathrani, SandeepSandeep Mathrani","General Growth Prop",3.55,,22.8,49,"-"
366,"White, BrettBrett White","CB Richard Ellis",3.445,29.91,28.7,51,"-"
367,"King, David PDavid P King","Laboratory Corp Amer",3.425,14.322,8.3,54,"-"
368,"Johnson, Kevin RKevin R Johnson","Juniper Networks",3.415,,8.8,50,"-"
369,"Swinburn, PeterPeter Swinburn","Molson Coors Brewing",3.405,,1.4,58,"-"
370,"Wandell, Keith EKeith E Wandell","Harley-Davidson",3.4,,9,61,"-"
371,"Livingston, Robert ARobert A Livingston","Dover",3.4,8.003,3.9,58,"-"
372,"Mulally, Alan RAlan R Mulally","Ford Motor",3.345,38.782,40.1,65,"-"
373,"Long, Michael JMichael J Long","Arrow Electronics",3.34,,13.6,51,"-"
374,"Rykhoek, PhilPhil Rykhoek","Denbury Resources",3.295,,15.8,53,"-"
375,"Woodring, A GreigA Greig Woodring","Reinsurance Gp America",3.285,15.53,7.6,59,"76"
376,"Davis, D ScottD Scott Davis","United Parcel Service",3.27,7.862,9.2,59,"-"
377,"Scarborough, Dean ADean A Scarborough","Avery Dennison",3.26,15.67,4.2,55,"-"
378,"Bush, Wesley GWesley G Bush","Northrop Grumman",,,28.7,50,"-"
379,"Moore, Patrick JPatrick J Moore","Smurfit-Stone",3.235,11.61,0,56,"-"
380,"Steinour, Stephen DStephen D Steinour","Huntington Bancshs",3.22,,8.9,52,"-"
381,"Leach, Timothy ATimothy A Leach","Concho Resources",3.225,7.262,109.2,51,"-"
382,"Wilderotter, Mary AMaggie Wilderotter","Frontier Commun",3.215,12.98,18.7,56,"-"
383,"Scangos, George AGeorge A Scangos","Biogen Idec",3.2,,0,63,"-"
384,"Golsby, Stephen WStephen W Golsby","Mead Johnson Nutrition",3.19,8.843,6.8,56,"-"
385,"Johns, John DJohn D Johns","Protective Life",3.185,23.49,10,58,"160"
386,"Slager, Donald WDonald W Slager","Republic Services",,,8.4,49,"-"
387,"D'Ambrosio, Louis JLouis J D'Ambrosio","Sears Holdings",3.15,,0,47,"-"
388,"Oberton, Willard DWillard D Oberton","Fastenal",3.15,7.59,18,52,"8"
389,"Pope, C LarryC Larry Pope","Smithfield Foods",3.12,13.62,5.3,56,"-"
390,"Donohue, Craig SCraig S Donohue","CME Group",3.085,43.99,11.4,49,"68"
391,"Dubow, Craig ACraig A Dubow","Gannett",3.05,13.97,0.8,56,"-"
392,"Temares, Steven HSteven H Temares","Bed Bath & Beyond",3.04,14.47,20,52,"120"
393,"Banga, AjayAjay Banga","MasterCard",3,,0,51,"-"
393,"Kessler, Murray SMurray S Kessler","Lorillard",3,,8.1,52,"-"
395,"Wasson, Gregory DGregory D Wasson","Walgreen",2.99,6.623,7,52,"-"
396,"Wilson, Thomas JThomas J Wilson","Allstate",2.99,23.25,6,53,"-"
397,"Edelstein, Charles BCharles B Edelstein","Apollo Group",2.98,7.093,1.7,51,"-"
398,"Ficalora, Joseph RJoseph R Ficalora","New York Community",2.965,10.42,76.4,64,"4"
399,"Fraizer, Michael DMichael D Fraizer","Genworth Financial",2.945,60.12,10.6,52,"194"
400,"Georgens, ThomasThomas Georgens","NetApp",2.91,,0.7,51,"-"
401,"Neithercut, David JDavid J Neithercut","Equity Residential",2.915,17.062,22.5,55,"-"
402,"Craver, Theodore F JrTheodore F Craver Jr","Edison International",2.9,7.633,7.1,59,"-"
403,"Young, Larry DLarry D Young","Dr Pepper Snapple",2.87,11.512,6,56,"-"
404,"Spierkel, Gregory MGregory M Spierkel","Ingram Micro",2.855,14.38,9.1,54,"-"
405,"Gibson, John WJohn W Gibson","Oneok",2.845,9.303,8.4,59,"-"
406,"MacMillan, Stephen PStephen P MacMillan","Stryker",2.84,14.77,7.8,47,"104"
407,"Jackson, Darren RDarren R Jackson","Advance Auto Parts",2.795,,11.8,47,"-"
408,"Lord, Albert LAlbert L Lord","SLM",2.745,49.673,8.3,65,"-"
409,"Fusco, Jack AJack A Fusco","Calpine",2.715,,7.4,48,"-"
410,"McCracken, William EWilliam E McCracken","CA",2.69,,0.3,68,"-"
411,"Kandarian, Steven ASteven A Kandarian","MetLife",2.696,,0.5,59,"-"
412,"Bertolini, Mark TMark T Bertolini","Aetna",,,4.4,55,"-"
413,"Goff, Gregory JGregory J Goff","Tesoro",2.66,,2.3,54,"-"
414,"Quinlan, Thomas J IIIThomas J Quinlan III","RR Donnelley & Sons",2.645,13.582,6.1,48,"-"
415,"Casper, Marc NMarc N Casper","Thermo Fisher",,,14.8,43,"-"
416,"Nordstrom, Blake WBlake W Nordstrom","Nordstrom",2.585,19.64,103.8,50,"23"
417,"Austrian, Neil RNeil R Austrian","Office Depot",2.56,,0.8,71,"-"
418,"Burd, Steven ASteven A Burd","Safeway",2.515,80.33,26.8,61,"137"
419,"M Smits, Marcel HMarcel H M Smits","Sara Lee",2.47,,0.5,49,"-"
420,"Berkett, Neil ANeil A Berkett","Virgin Media",2.455,7.403,10.8,55,"-"
421,"DeLaney, William JWilliam J DeLaney","Sysco",2.45,,2.1,55,"-"
422,"Brown, Joseph WJoseph W Brown","MBIA",2.45,26.842,43,62,"-"
423,"Pollock, Robert BRobert B Pollock","Assurant",2.415,20.752,9.9,56,"-"
424,"Brandt, Donald EDonald E Brandt","Pinnacle West",2.415,,1.1,55,"-"
425,"King, Kelly SKelly S King","BB&T",2.39,7.083,6.6,62,"-"
426,"Dvorak, David CDavid C Dvorak","Zimmer Holdings",2.37,8.862,4.3,47,"-"
427,"Ersek, HikmetHikmet Ersek","Western Union",,,6.9,51,"-"
428,"Barnes, John PJohn P Barnes","People's United",2.34,,3.4,55,"-"
429,"Wilmers, Robert GRobert G Wilmers","M&T Bank",2.33,29.47,391.8,77,"-"
430,"Raines, J PaulJ Paul Raines","GameStop",,,4.9,47,"-"
431,"Fanning, Thomas AThomas A Fanning","Southern Co",,,0.3,54,"-"
432,"Havenstein, Walter PWalter P Havenstein","SAIC",2.25,,4.8,60,"-"
433,"Herkert, CraigCraig Herkert","Supervalu",2.2,,2.8,51,"-"
434,"Cavanaugh, Terrence WTerrence W Cavanaugh","Erie Indemnity",2.16,4.673,1.5,58,"-"
435,"Voss, Thomas RThomas R Voss","Ameren",2.15,4.513,1.1,63,"-"
436,"Ball, F MichaelF Michael Ball","Hospira",2.15,,0,55,"-"
437,"DiMicco, Daniel RDaniel R DiMicco","Nucor",2.09,20.62,22.3,60,"46"
438,"Seifert, ThomasThomas Seifert","Advanced Micro",2.04,,0.3,47,"-"
439,"Prieur, C JamesC James Prieur","CNO Financial",1.995,5.122,7.4,60,"-"
440,"Mehrotra, SanjaySanjay Mehrotra","SanDisk",,,1.3,52,"-"
441,"Hall, O B GraysonO B Grayson Hall","Regions Financial",,,4.1,53,"-"
442,"Zimpleman, Larry DLarry D Zimpleman","Principal Financial",1.885,,5.3,59,"-"
443,"Bennett, Alan MAlan M Bennett","H&R Block",1.85,,0.07,61,"-"
444,"Martin, Craig LCraig L Martin","Jacobs Engineering",1.85,41.85,17,60,"-"
445,"Armstrong, Alan SAlan S Armstrong","Williams Cos",,,2.6,49,"-"
446,"Bezos, Jeffrey PJeffrey P Bezos","Amazon.com",1.785,6.81,14262.2,47,"2"
447,"Maritz, PaulPaul Maritz","VMware",1.745,,3.7,56,"-"
448,"Bryant, John AJohn A Bryant","Kellogg",1.716,,8.8,45,"-"
449,"Akerson, Daniel FDaniel F Akerson","General Motors",1.7,,0.5,62,"-"
450,"Seaton, David TDavid T Seaton","Fluor",1.696,,6.8,49,"-"
451,"Mooney, Beth EBeth E Mooney","KeyCorp",1.696,,3,55,"-"
452,"Dussek, Steven PSteven P Dussek","NII Holdings",1.625,,8.3,54,"-"
453,"Walter, W EdwardW Edward Walter","Host Hotels & Resorts",1.605,6.123,31.2,55,"-"
454,"Yabuki, Jeffery WJeffery W Yabuki","Fiserv",1.585,10.57,9.5,51,"-"
455,"Skaggs, Robert C JrRobert C Skaggs Jr","NiSource",1.555,4.99,15.5,56,"-"
456,"Sachdev, RakeshRakesh Sachdev","Sigma-Aldrich",1.556,,0.8,55,"-"
457,"Fulton, Daniel SDaniel S Fulton","Weyerhaeuser",1.4,5.082,3.3,62,"-"
458,"Russell, John GJohn G Russell","CMS Energy",,,9.9,53,"-"
459,"Stanley, Charles BCharles B Stanley","QEP Resources",1.37,,8.8,52,"-"
460,"Ballmer, Steven ASteven A Ballmer","Microsoft",1.35,6.23,8264.7,55,"156"
461,"Benioff, Marc RMarc R Benioff","Salesforce.com",1.355,1.35,1200.1,46,"1"
462,"Pandit, Vikram SVikram S Pandit","Citigroup",1.35,5.792,9.9,54,"-"
463,"Oberhelman, Douglas RDouglas R Oberhelman","Caterpillar",,,10.7,58,"-"
464,"Parker, W DouglasW Douglas Parker","US Airways Group",1.285,21.74,3.3,49,"141"
465,"Gavrielov, MosheMoshe Gavrielov","Xilinx",1.26,2.543,0.1,56,"-"
,"","",,,,,""
466,"Rigby, Joseph MJoseph M Rigby","Pepco Holdings",1.255,,2.8,54,"-"
,"","",,,,,""
467,"Sterba, Jeffry EJeffry E Sterba","American Water Works",1.22,,0.1,56,"-"
,"","",,,,,""
468,"Arpey, Gerard JGerard J Arpey","AMR",1.225,14.34,1.3,52,"134"
,"","",,,,,""
469,"Standley, John TJohn T Standley","Rite Aid",1.146,,0.9,57,"-"
,"","",,,,,""
470,"Miller, Douglas HDouglas H Miller","EXCO Resources",1.145,51.3,93.3,63,"-"
,"","",,,,,""
471,"Blankfein, Lloyd CLloyd C Blankfein","Goldman Sachs Group",1.135,137.742,337,56,"-"
,"","",,,,,""
472,"Carrion, Richard LRichard L Carrion","Popular",1.13,5.51,5.5,58,"175"
,"","",,,,,""
473,"McLaughlin, Mark DMark D McLaughlin","VeriSign",,,7.2,45,"-"
,"","",,,,,""
474,"Kelly, Gary CGary C Kelly","Southwest Airlines",1.095,5.97,3.7,56,"-"
,"","",,,,,""
475,"Marra, Thomas MThomas M Marra","Symetra Financial",1.05,,0,52,"-"
,"","",,,,,""
476,"Mays, Mark PMark P Mays","CC Media Holdings",1.045,32.14,3.9,47,"-"
,"","",,,,,""
477,"Freiberg, StevenSteven Freiberg","E-Trade Financial",1,,2.2,54,"-"
,"","",,,,,""
477,"Matire, Frank RFrank R Matire","Fidelity National Info",1,,9.7,62,"-"
,"","",,,,,""
477,"McGee, Liam ELiam E McGee","Hartford Finl Service",1,,0,56,"-"
,"","",,,,,""
480,"Smisek, Jeffery AJeffery A Smisek","United Continental",0.98,,0.4,57,"-"
,"","",,,,,""
481,"Dell, Michael SMichael S Dell","Dell",0.965,7.082,3815.5,46,"-"
,"","",,,,,""
482,"Stecher, Kenneth WKenneth W Stecher","Cincinnati Financial",0.94,3.103,3,64,"-"
,"","",,,,,""
483,"Furlong, Mark FMark F Furlong","Marshall & Ilsley",0.905,4.692,7.3,53,"-"
,"","",,,,,""
484,"Simmons, Harris HHarris H Simmons","Zions Bancorp",0.885,9.35,57.9,56,"152"
,"","",,,,,""
485,"Zucaro, A CA C Zucaro","Old Republic Intl",0.845,6.38,13,72,"127"
,"","",,,,,""
486,"Ergen, Charles WCharles W Ergen","DISH Network",0.8,6.31,5605.5,58,"57"
,"","",,,,,""
487,"Norwitt, R AdamR Adam Norwitt","Amphenol",0.765,2.433,0.07,42,"-"
,"","",,,,,""
488,"Mucci, MartinMartin Mucci","Paychex",0.716,,1.5,51,"-"
,"","",,,,,""
489,"Stelling, Kessel D JrKessel D Stelling Jr","Synovus Financial",0.646,,1.3,54,"-"
,"","",,,,,""
490,"Scanlon, George PGeorge P Scanlon","Fidelity National Finl",0.6,,2.1,54,"-"
,"","",,,,,""
491,"Dunlap, Michael SMichael S Dunlap","Nelnet",0.515,4.48,225.5,48,"164"
,"","",,,,,""
492,"Thain, John AJohn A Thain","CIT Group",0.5,,12.4,56,"-"
,"","",,,,,""
493,"Buffett, Warren EWarren E Buffett","Berkshire Hathaway",0.45,1.51,47824.3,80,"67"
,"","",,,,,""
494,"Mackey, John PJohn P Mackey","Whole Foods Market",0.12,5.28,69.3,57,"72"
,"","",,,,,""
495,"Fairbank, Richard DRichard D Fairbank","Capital One Financial",0.1,92.81,114.9,60,"192"
,"","",,,,,""
496,"Lambiase, Matthew JMatthew J Lambiase","Chimera Investment",0.035,,1.8,44,"-"
,"","",,,,,""
497,"Jobs, Steven PSteven P Jobs","Apple",0,661.24,1833.9,56,"24"
,"","",,,,,""
497,"Kinder, Richard DRichard D Kinder","Kinder Morgan",0,0,6604.4,66,"-"
,"","",,,,,""
497,"Page, LarryLarry Page","Google",0,,15773.4,38,"-"
,"","",,,,,""
497,"Wilkus, MalonMalon Wilkus","American Capital",0,,0,59,"-"
